"Name"	"Data Type"	"Precision"	"Scale"	"Length"	"Code Page"	"Sort Key Position"	"Comparison Flags"	"Source Component"
"CardCode"	"DT_WSTR"	"0"	"0"	"15"	"0"	"0"	""	"SRC - OPCH"
"UserSign"	"DT_I2"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"Transfered"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"CreateDate"	"DT_DBTIMESTAMP"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"UpdateDate"	"DT_DBTIMESTAMP"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"DataSource"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"LogInstanc"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"ObjType"	"DT_WSTR"	"0"	"0"	"20"	"0"	"0"	""	"SRC - OPCH"
"DocEntry"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"UserSign2"	"DT_I2"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"Series"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"AtcEntry"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"CreateTS"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"UpdateTS"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"Attachment"	"DT_NTEXT"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"DataVers"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"QRCodeSrc"	"DT_NTEXT"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"DocNum"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"DocType"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"CANCELED"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"Handwrtten"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"Printed"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"DocStatus"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"InvntSttus"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"DocDate"	"DT_DBTIMESTAMP"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"DocDueDate"	"DT_DBTIMESTAMP"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"CardName"	"DT_WSTR"	"0"	"0"	"100"	"0"	"0"	""	"SRC - OPCH"
"Address"	"DT_WSTR"	"0"	"0"	"254"	"0"	"0"	""	"SRC - OPCH"
"NumAtCard"	"DT_WSTR"	"0"	"0"	"100"	"0"	"0"	""	"SRC - OPCH"
"VatPercent"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"VatSum"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"VatSumFC"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"DiscPrcnt"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"DiscSum"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"DiscSumFC"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"DocCur"	"DT_WSTR"	"0"	"0"	"3"	"0"	"0"	""	"SRC - OPCH"
"DocRate"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"DocTotal"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"DocTotalFC"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"PaidToDate"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"PaidFC"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"GrosProfit"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"GrosProfFC"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"Ref1"	"DT_WSTR"	"0"	"0"	"11"	"0"	"0"	""	"SRC - OPCH"
"Ref2"	"DT_WSTR"	"0"	"0"	"11"	"0"	"0"	""	"SRC - OPCH"
"Comments"	"DT_WSTR"	"0"	"0"	"254"	"0"	"0"	""	"SRC - OPCH"
"JrnlMemo"	"DT_WSTR"	"0"	"0"	"254"	"0"	"0"	""	"SRC - OPCH"
"TransId"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"ReceiptNum"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"GroupNum"	"DT_I2"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"DocTime"	"DT_I2"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"SlpCode"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"TrnspCode"	"DT_I2"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"PartSupply"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"Confirmed"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"GrossBase"	"DT_I2"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"ImportEnt"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"CreateTran"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"SummryType"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"UpdInvnt"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"UpdCardBal"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"Instance"	"DT_I2"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"Flags"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"InvntDirec"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"CntctCode"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"ShowSCN"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"FatherCard"	"DT_WSTR"	"0"	"0"	"15"	"0"	"0"	""	"SRC - OPCH"
"SysRate"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"CurSource"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"VatSumSy"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"DiscSumSy"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"DocTotalSy"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"PaidSys"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"FatherType"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"GrosProfSy"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"IsICT"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"Volume"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"VolUnit"	"DT_I2"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"Weight"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"WeightUnit"	"DT_I2"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"TaxDate"	"DT_DBTIMESTAMP"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"Filler"	"DT_WSTR"	"0"	"0"	"8"	"0"	"0"	""	"SRC - OPCH"
"StampNum"	"DT_WSTR"	"0"	"0"	"16"	"0"	"0"	""	"SRC - OPCH"
"isCrin"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"FinncPriod"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"selfInv"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"VatPaid"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"VatPaidFC"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"VatPaidSys"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"WddStatus"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"draftKey"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"TotalExpns"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"TotalExpFC"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"TotalExpSC"	"DT_NUMERIC"	"21"	"6"	"0"	"0"	"0"	""	"SRC - OPCH"
"DunnLevel"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"Address2"	"DT_WSTR"	"0"	"0"	"254"	"0"	"0"	""	"SRC - OPCH"
"Exported"	"DT_WSTR"	"0"	"0"	"1"	"0"	"0"	""	"SRC - OPCH"
"StationID"	"DT_I4"	"0"	"0"	"0"	"0"	"0"	""	"SRC - OPCH"
"Indicator"	"DT_WSTR"	"0"	"0"	"2"	"0"	"0"	""	"SRC - OPCH"
